Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.99     11.76    11.76                             Foam::List<double>::List(Foam::List<double> const&) (List.C:122 @ 5bee0)
  0.83     87.67     1.22                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (UListI.H:201 @ aaff8)
  0.81     88.86     1.19                             Foam::DimensionedField<double, Foam::surfaceMesh>::operator-=(Foam::DimensionedField<double, Foam::surfaceMesh> const&) (Field.C:849 @ 692fc)
  0.81     90.05     1.19                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (UListI.H:201 @ b1c96)
  0.80     91.23     1.18                             double Foam::gMin<double>(Foam::UList<double> const&, int) (FieldFunctions.C:333 @ 58778)
  0.78     92.38     1.15                             Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (ops.H:168 @ b0a0c)
  0.77     93.52     1.14                             Foam::Field<double>::rmap(Foam::tmp<Foam::Field<double> > const&, Foam::UList<int> const&) (Field.C:597 @ 600e8)
  0.75     94.63     1.11                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator*<Foam::Vector<double> >(Foam::UList<double> const&, Foam::UList<Foam::Vector<double> > const&) (ops.H:167 @ 5a7fc)
  0.71     95.68     1.05                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (UListI.H:201 @ ab001)
  0.71     96.72     1.04                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (ops.H:166 @ b1ca6)
  0.71     97.76     1.04                             Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::dimensioned<double> const&) (FieldFunctions.C:631 @ ba84e)
  0.70     98.79     1.03                             Foam::fvMatrix<Foam::Vector<double> >::addBoundaryDiag(Foam::Field<double>&, unsigned char) const (FieldFunctions.C:48 @ 61aa9)
  0.69     99.81     1.02                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator/<Foam::Vector<double> >(Foam::UList<Foam::Vector<double> > const&, Foam::UList<double> const&) (ops.H:168 @ 9adec)
  0.68    100.81     1.00                             double Foam::gAverage<double>(Foam::UList<double> const&, int) (FieldFunctions.C:350 @ 58834)
  0.65    101.77     0.96                             Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::operator-<double, Foam::fvsPatchField, Foam::surfaceMesh>(Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (FieldFunctions.C:622 @ ad0cc)
  0.64    102.71     0.94                             Foam::fvMatrix<Foam::Vector<double> >::addCmptAvBoundaryDiag(Foam::Field<double>&) const (fvMatrix.C:53 @ 615a8)
  0.58    103.57     0.86                             Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > Foam::operator*<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&) (ops.H:167 @ b0214)
  0.56    104.40     0.83                             Foam::Field<double>::operator-=(Foam::tmp<Foam::Field<double> > const&) (Field.C:849 @ 5fae0)
  0.55    105.21     0.81                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:283 @ b1ce1)
  0.52    105.98     0.77                             Foam::List<double>::List(int, double const&) (List.C:72 @ 5bd7f)
  0.52    106.74     0.77                             Foam::tmp<Foam::Field<double> > Foam::lduMatrix::faceH<double>(Foam::Field<double> const&) const (lduMatrixTemplates.C:95 @ 689a5)
  0.52    107.50     0.76                             void Foam::fvc::surfaceIntegrate<double>(Foam::Field<double>&, Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (fvcSurfaceIntegrate.C:71 @ 67dc9)
  0.52    108.26     0.76                             Foam::fvMatrix<Foam::Vector<double> >::addCmptAvBoundaryDiag(Foam::Field<double>&) const (ops.H:71 @ 614e8)
  0.50    109.00     0.74                             Foam::fvMatrix<Foam::Vector<double> >::H() const (ops.H:74 @ afab0)
  0.50    109.73     0.73                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:283 @ b1cd4)
  0.50    110.46     0.73                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (ops.H:165 @ b1cdd)
  0.49    111.18     0.72                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (List.C:393 @ b1e50)
  0.47    111.87     0.69                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::lduMatrix::H<Foam::Vector<double> >(Foam::Field<Foam::Vector<double> > const&) const (ops.H:72 @ 5ca9f)
  0.44    112.52     0.65                             void Foam::fvc::surfaceIntegrate<double>(Foam::Field<double>&, Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (UListI.H:172 @ 67cf5)
  0.43    113.15     0.63                             void Foam::fvc::surfaceIntegrate<double>(Foam::Field<double>&, Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (UListI.H:172 @ 67ce0)
  0.43    113.78     0.63                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (List.C:393 @ ab1e8)
  0.43    114.41     0.63                             Foam::fvMatrix<Foam::Vector<double> >::addBoundaryDiag(Foam::Field<double>&, unsigned char) const (fvMatrix.C:53 @ 61b88)
  0.42    115.03     0.62                             Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator*<double, Foam::fvPatchField, Foam::volMesh>(Foam::dimensioned<double> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (FieldFunctions.C:628 @ b93e1)
  0.39    115.61     0.58                             Foam::fvMatrix<Foam::Vector<double> >::addBoundarySource(Foam::Field<Foam::Vector<double> >&, bool) const (ops.H:71 @ 5ccf6)
  0.39    116.18     0.57                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::lduMatrix::H<Foam::Vector<double> >(Foam::Field<Foam::Vector<double> > const&) const (ops.H:167 @ 5cabe)
  0.38    116.74     0.56                             Foam::FieldField<Foam::Field, Foam::Vector<double> >::component(unsigned char) const (FieldFunctions.C:48 @ 7d132)
  0.37    117.29     0.55                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (ops.H:167 @ b1cd9)
  0.35    117.81     0.52                             Foam::fvMatrix<double>::operator+=(Foam::fvMatrix<double> const&) (Field.C:848 @ 778b3)
  0.35    118.33     0.52                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator*<Foam::Vector<double> >(Foam::tmp<Foam::Field<double> > const&, Foam::UList<Foam::Vector<double> > const&) (ops.H:167 @ 5fcf4)
  0.34    118.83     0.50                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:283 @ aafb3)
  0.34    119.33     0.50                             void Foam::add<double, double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<Foam::typeOfSum<double, double>::type, Foam::fvPatchField, Foam::volMesh>&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (FieldFunctions.C:770 @ 705e0)
  0.33    119.82     0.49                             Foam::tmp<Foam::Field<Foam::innerProduct<Foam::Vector<double>, Foam::Vector<double> >::type> > Foam::operator&<Foam::Vector<double>, Foam::Vector<double> >(Foam::UList<Foam::Vector<double> > const&, Foam::UList<Foam::Vector<double> > const&) (VectorI.H:147 @ 5f236)
  0.33    120.31     0.49                             Foam::fvMatrix<Foam::Vector<double> >::H() const (ops.H:165 @ afd8c)
  0.32    120.78     0.47                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:283 @ b1c8c)
  0.32    121.25     0.47                             Foam::fvMatrix<Foam::Vector<double> >::H() const (ops.H:165 @ afd94)
  0.31    121.71     0.46                             Foam::DimensionedField<double, Foam::volMesh>::operator+=(Foam::DimensionedField<double, Foam::volMesh> const&) (Field.C:848 @ 5dfac)
  0.31    122.17     0.46                             Foam::Field<Foam::Vector<double> >::operator=(Foam::tmp<Foam::Field<Foam::Vector<double> > > const&) (List.C:393 @ 9b220)
  0.31    122.63     0.46                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::lduMatrix::H<Foam::Vector<double> >(Foam::Field<Foam::Vector<double> > const&) const (lduMatrixTemplates.C:59 @ 5ca50)
  0.31    123.08     0.45                             Foam::fvMatrix<Foam::Vector<double> >::H() const (Field.C:650 @ af6ef)
  0.31    123.53     0.45                             void Foam::subtract<double, double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<Foam::typeOfSum<double, double>::type, Foam::fvPatchField, Foam::volMesh>&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (FieldFunctions.C:771 @ 6fbd0)
  0.30    123.97     0.44                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::lduMatrix::H<Foam::Vector<double> >(Foam::Field<Foam::Vector<double> > const&) const (ops.H:72 @ 5ca97)
  0.29    124.40     0.43                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (ops.H:165 @ b1cc8)
  0.27    124.80     0.40                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (ops.H:166 @ b1cb7)
  0.27    125.20     0.40                             Foam::fvMatrix<double>::operator-=(Foam::fvMatrix<double> const&) (Field.C:849 @ ad6a2)
  0.26    125.59     0.39                             Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > Foam::operator*<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&) (ops.H:167 @ b02ec)
  0.26    125.97     0.38                             Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh>(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (ops.H:168 @ b0ae4)
  0.26    126.35     0.38                             Foam::tmp<Foam::fvMatrix<Foam::Vector<double> > > Foam::operator==<Foam::Vector<double> >(Foam::fvMatrix<Foam::Vector<double> > const&, Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> > const&) (ops.H:71 @ 7bd10)
  0.25    126.72     0.37                             Foam::List<int>::List(Foam::List<int> const&) (List.C:122 @ 562a0)
  0.25    127.09     0.37                             Foam::fvMatrix<Foam::Vector<double> >::addCmptAvBoundaryDiag(Foam::Field<double>&) const (VectorSpaceI.H:516 @ 614f2)
  0.24    127.45     0.36                             Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator/<double, Foam::fvPatchField, Foam::volMesh>(Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::dimensioned<double> const&) (FieldFunctions.C:631 @ ba9d9)
  0.24    127.81     0.36                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::lduMatrix::H<Foam::Vector<double> >(Foam::Field<Foam::Vector<double> > const&) const (List.C:96 @ 5c998)
  0.23    128.15     0.34                             Foam::fvMatrix<double>::addBoundaryDiag(Foam::Field<double>&, unsigned char) const (fvMatrix.C:53 @ 699b8)
  0.22    128.48     0.33                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::lduMatrix::H<Foam::Vector<double> >(Foam::Field<Foam::Vector<double> > const&) const (ops.H:72 @ 5cada)
  0.22    128.81     0.33                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::Vector<double>, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::operator&<Foam::Vector<double>, Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh>(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh> > const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh> const&) (VectorI.H:147 @ abd3c)
  0.21    129.12     0.31                             Foam::fvMatrix<Foam::Vector<double> >::operator-=(Foam::fvMatrix<Foam::Vector<double> > const&) (ops.H:72 @ b2a80)
  0.20    129.42     0.30                             Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > Foam::operator*<double, Foam::fvPatchField, Foam::volMesh>(Foam::dimensioned<double> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> > const&) (FieldFunctions.C:628 @ b72c8)
  0.20    129.71     0.29                             Foam::tmp<Foam::fvMatrix<double> > Foam::fvm::SuSp<double>(Foam::DimensionedField<double, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (FieldFunctions.C:615 @ 6b5ec)
  0.20    130.00     0.29                             Foam::tmp<Foam::fvMatrix<double> > Foam::fvm::SuSp<double>(Foam::DimensionedField<double, Foam::volMesh> const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&) (FieldFunctions.C:614 @ 6b43d)
  0.19    130.28     0.29                             Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh>::GeometricField(Foam::IOobject const&, Foam::fvMesh const&, Foam::dimensioned<double> const&, Foam::word const&) (UList.C:70 @ b4eab)
  0.19    130.56     0.28                             Foam::fvMatrix<double>::addBoundarySource(Foam::Field<double>&, bool) const (fvMatrix.C:53 @ 69cc0)
  0.19    130.84     0.28                             Foam::fvMatrix<Foam::Vector<double> >::operator-=(Foam::fvMatrix<Foam::Vector<double> > const&) (ops.H:72 @ b2bb0)
  0.19    131.12     0.28                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::Vector<double>, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::operator&<Foam::Vector<double>, Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh>(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh> > const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh> const&) (VectorI.H:147 @ abc4c)
  0.19    131.40     0.28                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator/<Foam::Vector<double> >(Foam::UList<Foam::Vector<double> > const&, Foam::UList<double> const&) (ops.H:168 @ 9ae08)
  0.18    131.67     0.27                             Foam::tmp<Foam::Field<Foam::innerProduct<Foam::Vector<double>, Foam::Vector<double> >::type> > Foam::operator&<Foam::Vector<double>, Foam::Vector<double> >(Foam::UList<Foam::Vector<double> > const&, Foam::UList<Foam::Vector<double> > const&) (VectorI.H:147 @ 5f21c)
  0.17    131.92     0.26                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::operator*<Foam::Vector<double> >(Foam::UList<double> const&, Foam::tmp<Foam::Field<Foam::Vector<double> > > const&) (ops.H:167 @ 7267c)
  0.17    132.17     0.25                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (ops.H:167 @ b1cc0)
  0.16    132.41     0.24                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::lduMatrix::H<Foam::Vector<double> >(Foam::Field<Foam::Vector<double> > const&) const (ops.H:167 @ 5ca84)
  0.16    132.65     0.24                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<Foam::Vector<double> >::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (ops.H:166 @ b1ccc)
